Município;AIS;Natureza;Data;Hora;Dia da Semana;Tipo de Arma;Gênero;Idade da Vítima;Escolaridade da Vítima;Raça da Vítima
Fortaleza;AIS 03;HOMICIDIO DOLOSO;05/jan/21;19:04;Terça;Arma de fogo;Masculino;29;Ensino Médio Completo;Branca
Itarema;AIS 17;HOMICIDIO DOLOSO;05/jan/21;19:30;Terça;Arma de fogo;Masculino;32;Alfabetizado;Não Informada
Juazeiro do Norte;AIS 19;HOMICIDIO DOLOSO;05/jan/21;19:40;Terça;Arma de fogo;Masculino;20;Alfabetizado;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;05/jan/21;20:30;Terça;Arma de fogo;Masculino;21;Não Informada;Não Informada
Cariré;AIS 14;HOMICIDIO DOLOSO;06/jan/21;02:40;Quarta;Arma de fogo;Masculino;50;Superior Completo;Não Informada
Quixeré;AIS 18;HOMICIDIO DOLOSO;06/jan/21;07:00;Quarta;Arma de fogo;Masculino;29;Ensino Fundamental Incompleto;Não Informada
Aquiraz;AIS 13;HOMICIDIO DOLOSO;06/jan/21;07:32;Quarta;Arma de fogo;Masculino;32;Ensino Fundamental Completo;Não Informada
São Benedito;AIS 14;HOMICIDIO DOLOSO;06/jan/21;09:30;Quarta;Arma de fogo;Masculino;28;Alfabetizado;Não Informada
Redenção;AIS 15;HOMICIDIO DOLOSO;06/jan/21;15:20;Quarta;Arma de fogo;Masculino;17;Ensino Fundamental Incompleto;Não Informada
Forquilha;AIS 14;HOMICIDIO DOLOSO;06/jan/21;15:30;Quarta;Arma de fogo;Masculino;31;Alfabetizado;Não Informada
Jucás;AIS 21;HOMICIDIO DOLOSO;06/jan/21;18:30;Quarta;Arma de fogo;Masculino;35;Ensino Fundamental Completo;Não Informada
Itaitinga;AIS 25;HOMICIDIO DOLOSO;06/jan/21;19:10;Quarta;Arma de fogo;Masculino;13;Ensino Fundamental Incompleto;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;06/jan/21;19:36;Quarta;Arma de fogo;Masculino;21;Alfabetizado;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;06/jan/21;20:35;Quarta;Arma de fogo;Masculino;39;Ensino Fundamental Incompleto;Parda
Fortaleza;AIS 02;HOMICIDIO DOLOSO;06/jan/21;21:09;Quarta;Arma de fogo;Masculino;19;Alfabetizado;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;06/jan/21;21:09;Quarta;Arma de fogo;Masculino;17;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;06/jan/21;22:53;Quarta;Arma de fogo;Masculino;19;Alfabetizado;Parda
Crato;AIS 19;LESAO CORPORAL SEGUIDA DE MORTE;07/jan/21;05:00;Quinta;Outros meios;Masculino;31;Ensino Fundamental Completo;Não Informada
Nova Olinda;AIS 19;HOMICIDIO DOLOSO;07/jan/21;08:00;Quinta;Arma de fogo;Masculino;54;Alfabetizado;Parda
Aracoiaba;AIS 15;HOMICIDIO DOLOSO;07/jan/21;10:20;Quinta;Arma de fogo;Masculino;57;Alfabetizado;Parda
Fortaleza;AIS 08;HOMICIDIO DOLOSO;07/jan/21;12:00;Quinta;Arma de fogo;Masculino;19;Ensino Médio Completo;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;07/jan/21;13:40;Quinta;Arma de fogo;Masculino;25;Ensino Fundamental Incompleto;Não Informada
Jati;AIS 19;HOMICIDIO DOLOSO;07/jan/21;19:30;Quinta;Arma de fogo;Masculino;58;Não Alfabetizado;Não Informada
Aquiraz;AIS 13;HOMICIDIO DOLOSO;07/jan/21;23:17;Quinta;Arma de fogo;Masculino;23;Ensino Fundamental Incompleto;Parda
Fortaleza;AIS 05;HOMICIDIO DOLOSO;07/jan/21;23:29;Quinta;Arma de fogo;Masculino;43;Alfabetizado;Não Informada
Cruz;AIS 17;HOMICIDIO DOLOSO;08/jan/21;01:00;Sexta;Arma de fogo;Masculino;34;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;08/jan/21;01:49;Sexta;Arma de fogo;Masculino;30;Alfabetizado;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;08/jan/21;08:23;Sexta;Arma de fogo;Masculino;34;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 05;HOMICIDIO DOLOSO;08/jan/21;18:20;Sexta;Arma de fogo;Feminino;24;Ensino Fundamental Incompleto;Parda
Itaitinga;AIS 25;HOMICIDIO DOLOSO;08/jan/21;22:39;Sexta;Arma de fogo;Masculino;25;Ensino Médio Incompleto;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;09/jan/21;00:30;Sábado;Arma de fogo;Masculino;18;Ensino Fundamental Incompleto;Não Informada
Horizonte;AIS 25;HOMICIDIO DOLOSO;09/jan/21;03:40;Sábado;Arma de fogo;Masculino;31;Ensino Fundamental Completo;Não Informada
Icó;AIS 21;HOMICIDIO DOLOSO;09/jan/21;05:50;Sábado;Arma de fogo;Masculino;29;Alfabetizado;Parda
Sobral;AIS 14;HOMICIDIO DOLOSO;09/jan/21;06:45;Sábado;Arma de fogo;Masculino;28;Ensino Fundamental Completo;Não Informada
Aquiraz;AIS 13;HOMICIDIO DOLOSO;09/jan/21;11:20;Sábado;Arma de fogo;Masculino;36;Não Alfabetizado;Não Informada
Forquilha;AIS 14;HOMICIDIO DOLOSO;09/jan/21;12:15;Sábado;Arma de fogo;Masculino;15;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;09/jan/21;15:15;Sábado;Arma de fogo;Masculino;25;Alfabetizado;Preta
Fortaleza;AIS 01;HOMICIDIO DOLOSO;09/jan/21;19:11;Sábado;Arma de fogo;Masculino;33;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;09/jan/21;21:00;Sábado;Arma de fogo;Masculino;25;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;09/jan/21;22:39;Sábado;Arma de fogo;Masculino;Não Informada;Não Informada;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;10/jan/21;04:30;Domingo;Arma de fogo;Masculino;37;Alfabetizado;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;10/jan/21;04:30;Domingo;Arma de fogo;Feminino;38;Ensino Fundamental Incompleto;Não Informada
São Benedito;AIS 14;HOMICIDIO DOLOSO;10/jan/21;08:00;Domingo;Arma branca;Masculino;61;Alfabetizado;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;10/jan/21;10:40;Domingo;Arma de fogo;Masculino;23;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;10/jan/21;12:30;Domingo;Arma de fogo;Masculino;38;Ensino Fundamental Incompleto;Não Informada
Aquiraz;AIS 13;HOMICIDIO DOLOSO;10/jan/21;12:40;Domingo;Arma de fogo;Masculino;31;Alfabetizado;Não Informada
Redenção;AIS 15;HOMICIDIO DOLOSO;10/jan/21;13:00;Domingo;Arma de fogo;Masculino;27;Alfabetizado;Parda
Fortaleza;AIS 03;HOMICIDIO DOLOSO;10/jan/21;13:56;Domingo;Arma branca;Masculino;35;Ensino Fundamental Completo;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;10/jan/21;14:00;Domingo;Arma branca;Masculino;37;Alfabetizado;Não Informada
Sobral;AIS 14;HOMICIDIO DOLOSO;10/jan/21;14:30;Domingo;Arma de fogo;Masculino;16;Alfabetizado;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;10/jan/21;14:47;Domingo;Arma de fogo;Masculino;22;Ensino Fundamental Incompleto;Não Informada
Cascavel;AIS 13;HOMICIDIO DOLOSO;10/jan/21;15:30;Domingo;Arma de fogo;Masculino;39;Alfabetizado;Não Informada
Barreira;AIS 15;HOMICIDIO DOLOSO;10/jan/21;20:20;Domingo;Arma de fogo;Masculino;28;Alfabetizado;Não Informada
Aquiraz;AIS 13;HOMICIDIO DOLOSO;10/jan/21;20:42;Domingo;Arma de fogo;Masculino;35;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;10/jan/21;21:59;Domingo;Arma de fogo;Masculino;30;Alfabetizado;Não Informada
Itaitinga;AIS 25;HOMICIDIO DOLOSO;10/jan/21;22:30;Domingo;Arma de fogo;Feminino;32;Ensino Fundamental Completo;Não Informada
Beberibe;AIS 18;HOMICIDIO DOLOSO;10/jan/21;23:00;Domingo;Arma de fogo;Masculino;24;Alfabetizado;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;11/jan/21;00:04;Segunda;Arma de fogo;Feminino;60;Ensino Fundamental Completo;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;11/jan/21;00:04;Segunda;Arma de fogo;Feminino;40;Alfabetizado;Parda
Araripe;AIS 19;HOMICIDIO DOLOSO;11/jan/21;00:30;Segunda;Arma de fogo;Masculino;19;Alfabetizado;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;11/jan/21;01:03;Segunda;Arma de fogo;Masculino;21;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;11/jan/21;03:36;Segunda;Arma de fogo;Masculino;23;Ensino Fundamental Incompleto;Parda
Sobral;AIS 14;HOMICIDIO DOLOSO;11/jan/21;13:30;Segunda;Arma de fogo;Masculino;37;Ensino Fundamental Completo;Não Informada
Missão Velha;AIS 19;HOMICIDIO DOLOSO;11/jan/21;16:00;Segunda;Arma de fogo;Masculino;38;Superior Incompleto;Não Informada
Forquilha;AIS 14;HOMICIDIO DOLOSO;11/jan/21;18:30;Segunda;Arma de fogo;Masculino;15;Ensino Médio Incompleto;Não Informada
Jaguaretama;AIS 20;HOMICIDIO DOLOSO;11/jan/21;21:00;Segunda;Arma de fogo;Masculino;18;Ensino Médio Incompleto;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;11/jan/21;21:30;Segunda;Arma de fogo;Masculino;28;Ensino Médio Completo;Preta
Cariré;AIS 14;HOMICIDIO DOLOSO;11/jan/21;22:00;Segunda;Arma de fogo;Masculino;21;Alfabetizado;Não Informada
Cariré;AIS 14;HOMICIDIO DOLOSO;11/jan/21;22:00;Segunda;Arma de fogo;Masculino;27;Não Informada;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;11/jan/21;22:20;Segunda;Arma de fogo;Masculino;24;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;11/jan/21;22:45;Segunda;Arma de fogo;Masculino;52;Ensino Fundamental Completo;Parda
Aratuba;AIS 15;HOMICIDIO DOLOSO;12/jan/21;04:10;Terça;Arma de fogo;Masculino;74;Alfabetizado;Branca
Aratuba;AIS 15;HOMICIDIO DOLOSO;12/jan/21;04:10;Terça;Arma de fogo;Masculino;36;Alfabetizado;Branca
Caucaia;AIS 11;HOMICIDIO DOLOSO;12/jan/21;05:48;Terça;Arma de fogo;Masculino;34;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;12/jan/21;13:12;Terça;Arma de fogo;Masculino;19;Ensino Médio Incompleto;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;12/jan/21;13:19;Terça;Arma de fogo;Masculino;25;Alfabetizado;Não Informada
Pacajus;AIS 25;HOMICIDIO DOLOSO;12/jan/21;14:18;Terça;Arma de fogo;Masculino;25;Não Alfabetizado;Não Informada
Forquilha;AIS 14;HOMICIDIO DOLOSO;12/jan/21;14:40;Terça;Arma de fogo;Masculino;26;Não Informada;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;12/jan/21;15:23;Terça;Arma de fogo;Masculino;17;Alfabetizado;Parda
Fortaleza;AIS 08;HOMICIDIO DOLOSO;12/jan/21;15:32;Terça;Arma de fogo;Masculino;39;Alfabetizado;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;12/jan/21;16:18;Terça;Arma de fogo;Masculino;21;Ensino Fundamental Incompleto;Não Informada
Morada Nova;AIS 20;HOMICIDIO DOLOSO;12/jan/21;19:30;Terça;Arma de fogo;Feminino;38;Ensino Médio Incompleto;Não Informada
Morada Nova;AIS 20;HOMICIDIO DOLOSO;12/jan/21;19:30;Terça;Arma de fogo;Feminino;56;Superior Completo;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;12/jan/21;20:41;Terça;Arma de fogo;Masculino;Não Informada;Não Informada;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;12/jan/21;23:08;Terça;Arma de fogo;Masculino;19;Ensino Fundamental Completo;Não Informada
Ibicuitinga;AIS 20;HOMICIDIO DOLOSO;13/jan/21;15:00;Quarta;Arma de fogo;Masculino;23;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;13/jan/21;17:12;Quarta;Arma de fogo;Masculino;21;Alfabetizado;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;13/jan/21;18:00;Quarta;Arma de fogo;Masculino;33;Alfabetizado;Não Informada
Acaraú;AIS 17;HOMICIDIO DOLOSO;13/jan/21;23:45;Quarta;Arma de fogo;Masculino;25;Não Informada;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;14/jan/21;00:30;Quinta;Arma de fogo;Masculino;24;Ensino Médio Completo;Não Informada
Chorozinho;AIS 25;HOMICIDIO DOLOSO;14/jan/21;01:05;Quinta;Outros meios;Feminino;28;Alfabetizado;Não Informada
Quixadá;AIS 20;HOMICIDIO DOLOSO;14/jan/21;04:45;Quinta;Arma de fogo;Feminino;18;Alfabetizado;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;14/jan/21;10:12;Quinta;Arma de fogo;Masculino;36;Ensino Médio Completo;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;14/jan/21;13:20;Quinta;Arma de fogo;Masculino;46;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;14/jan/21;19:20;Quinta;Arma de fogo;Masculino;19;Ensino Fundamental Completo;Parda
Fortaleza;AIS 09;HOMICIDIO DOLOSO;14/jan/21;19:45;Quinta;Arma de fogo;Masculino;48;Não Alfabetizado;Não Informada
Paraipaba;AIS 23;HOMICIDIO DOLOSO;14/jan/21;20:00;Quinta;Arma de fogo;Masculino;44;Não Informada;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;14/jan/21;20:14;Quinta;Arma de fogo;Masculino;18;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 05;ROUBO SEGUIDO DE MORTE (LATROCINIO);15/jan/21;14:30;Sexta;Arma de fogo;Masculino;63;Não Informada;Branca
Aquiraz;AIS 13;HOMICIDIO DOLOSO;15/jan/21;16:57;Sexta;Arma de fogo;Masculino;44;Alfabetizado;Não Informada
Juazeiro do Norte;AIS 19;HOMICIDIO DOLOSO;15/jan/21;22:30;Sexta;Arma de fogo;Masculino;28;Ensino Fundamental Completo;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;15/jan/21;22:30;Sexta;Arma de fogo;Masculino;21;Ensino Médio Completo;Não Informada
Jaguaruana;AIS 18;HOMICIDIO DOLOSO;16/jan/21;01:40;Sábado;Arma de fogo;Masculino;58;Alfabetizado;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;16/jan/21;06:08;Sábado;Arma de fogo;Masculino;18;Ensino Fundamental Completo;Não Informada
Horizonte;AIS 25;HOMICIDIO DOLOSO;16/jan/21;07:35;Sábado;Arma de fogo;Masculino;21;Não Informada;Não Informada
Pacatuba;AIS 24;HOMICIDIO DOLOSO;16/jan/21;08:30;Sábado;Arma de fogo;Feminino;25;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;16/jan/21;12:00;Sábado;Arma de fogo;Masculino;24;Ensino Médio Incompleto;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;16/jan/21;12:00;Sábado;Arma branca;Feminino;20;Ensino Fundamental Completo;Parda
Fortaleza;AIS 04;HOMICIDIO DOLOSO;16/jan/21;15:30;Sábado;Arma de fogo;Feminino;18;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;16/jan/21;16:03;Sábado;Arma de fogo;Masculino;31;Alfabetizado;Não Informada
Pereiro;AIS 18;LESAO CORPORAL SEGUIDA DE MORTE;16/jan/21;17:00;Sábado;Outros meios;Masculino;20;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;16/jan/21;19:07;Sábado;Arma de fogo;Masculino;29;Ensino Médio Completo;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;16/jan/21;20:00;Sábado;Arma de fogo;Masculino;28;Ensino Médio Completo;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;16/jan/21;20:30;Sábado;Arma branca;Masculino;22;Ensino Médio Completo;Não Informada
Tejuçuoca;AIS 17;HOMICIDIO DOLOSO;16/jan/21;20:30;Sábado;Arma branca;Masculino;22;Alfabetizado;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;16/jan/21;23:20;Sábado;Arma de fogo;Masculino;26;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;16/jan/21;23:35;Sábado;Arma de fogo;Masculino;32;Não Informada;Não Informada
Independência;AIS 16;HOMICIDIO DOLOSO;17/jan/21;00:41;Domingo;Arma de fogo;Masculino;20;Não Informada;Parda
Cascavel;AIS 13;HOMICIDIO DOLOSO;17/jan/21;01:15;Domingo;Arma de fogo;Feminino;22;Não Informada;Não Informada
Ararendá;AIS 16;HOMICIDIO DOLOSO;17/jan/21;05:00;Domingo;Arma de fogo;Masculino;42;Alfabetizado;Não Informada
Horizonte;AIS 25;HOMICIDIO DOLOSO;17/jan/21;07:00;Domingo;Arma de fogo;Masculino;35;Ensino Fundamental Incompleto;Não Informada
Aquiraz;AIS 13;HOMICIDIO DOLOSO;17/jan/21;09:00;Domingo;Arma de fogo;Masculino;41;Ensino Médio Completo;Parda
Fortaleza;AIS 08;HOMICIDIO DOLOSO;17/jan/21;17:00;Domingo;Arma de fogo;Masculino;25;Ensino Médio Completo;Não Informada
Pacatuba;AIS 24;HOMICIDIO DOLOSO;17/jan/21;18:00;Domingo;Arma de fogo;Masculino;23;Ensino Fundamental Incompleto;Não Informada
Chorozinho;AIS 25;HOMICIDIO DOLOSO;17/jan/21;19:00;Domingo;Arma de fogo;Feminino;23;Alfabetizado;Não Informada
Canindé;AIS 15;HOMICIDIO DOLOSO;17/jan/21;19:30;Domingo;Arma de fogo;Masculino;33;Ensino Fundamental Incompleto;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;17/jan/21;21:20;Domingo;Arma de fogo;Masculino;30;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;18/jan/21;06:20;Segunda;Arma de fogo;Feminino;Não Informada;Não Informada;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;18/jan/21;07:43;Segunda;Arma branca;Masculino;16;Não Informada;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;18/jan/21;11:31;Segunda;Arma de fogo;Masculino;24;Ensino Médio Completo;Parda
Maracanaú;AIS 12;HOMICIDIO DOLOSO;18/jan/21;13:59;Segunda;Arma de fogo;Masculino;65;Alfabetizado;Não Informada
Sobral;AIS 14;HOMICIDIO DOLOSO;18/jan/21;14:40;Segunda;Arma de fogo;Masculino;28;Alfabetizado;Não Informada
